AMD Processor ->
Benchmarks used to create predictor:

benchmark  av_err  maxerror
2670:( 63.42, 54.86) ->   8.56   0.13
2675:( 63.40, 55.13) ->   8.27   0.13
2680:( 56.76, 55.89) ->   0.87   0.02
2685:( 56.55, 56.25) ->   0.30   0.01
2690:( 60.27, 55.43) ->   4.84   0.08
2695:( 63.34, 57.38) ->   5.96   0.09
2700:( 63.50, 56.90) ->   6.61   0.10
2705:( 58.05, 54.54) ->   3.51   0.06
2710:( 56.37, 56.03) ->   0.34   0.01
2715:( 69.21, 55.39) ->  13.82   0.20
2720:( 63.37, 56.75) ->   6.62   0.10
2725:( 63.48, 57.20) ->   6.28   0.10
2730:( 56.67, 57.38) ->   0.71   0.01
2735:( 56.04, 56.37) ->   0.33   0.01
2740:( 56.19, 55.54) ->   0.65   0.01
2745:( 56.46, 55.07) ->   1.39   0.02
2750:( 56.01, 55.23) ->   0.78   0.01
2755:( 55.92, 54.99) ->   0.93   0.02
2760:( 56.31, 54.95) ->   1.36   0.02
2765:( 56.28, 54.73) ->   1.55   0.03
2770:( 55.98, 56.54) ->   0.56   0.01
2775:( 56.25, 58.10) ->   1.85   0.03
2780:( 55.80, 55.48) ->   0.32   0.01
2785:( 56.49, 57.15) ->   0.66   0.01
2790:( 55.98, 55.01) ->   0.97   0.02
2795:( 56.49, 55.31) ->   1.18   0.02
2800:( 56.13, 55.17) ->   0.96   0.02
2805:( 55.86, 58.16) ->   2.30   0.04
2810:( 56.49, 56.72) ->   0.23   0.00
2815:( 56.16, 56.05) ->   0.11   0.00
2820:( 56.16, 56.17) ->   0.01   0.00
2825:( 56.61, 56.47) ->   0.14   0.00
2830:( 56.04, 59.76) ->   3.72   0.07
2835:( 57.03, 57.69) ->   0.66   0.01
2840:( 55.95, 56.94) ->   0.99   0.02
2845:( 56.46, 56.66) ->   0.20   0.00
2850:( 56.37, 54.99) ->   1.38   0.02
2855:( 55.95, 55.41) ->   0.54   0.01
2860:( 55.92, 55.82) ->   0.10   0.00
2865:( 56.31, 54.87) ->   1.44   0.03
2870:( 56.01, 54.21) ->   1.80   0.03
2875:( 55.83, 55.12) ->   0.71   0.01
2880:( 56.76, 55.71) ->   1.05   0.02
2885:( 56.28, 54.66) ->   1.62   0.03
2890:( 56.19, 56.39) ->   0.20   0.00
2895:( 56.55, 64.96) ->   8.41   0.15
2900:( 56.61, 58.98) ->   2.37   0.04
2905:( 56.40, 56.39) ->   0.01   0.00
2910:( 56.94, 55.20) ->   1.74   0.03
2915:( 56.49, 62.52) ->   6.03   0.11
2920:( 56.34, 57.62) ->   1.28   0.02
2925:( 56.37, 59.59) ->   3.22   0.06
2930:( 56.13, 62.06) ->   5.93   0.11
2935:( 63.94, 59.02) ->   4.91   0.08
2940:( 55.95, 61.71) ->   5.76   0.10
2945:( 56.37, 52.05) ->   4.32   0.08
2950:( 42.45, 51.66) ->   9.21   0.22
2955:( 42.51, 52.66) ->  10.15   0.24
2960:( 42.54, 52.50) ->   9.96   0.23
2965:( 54.59, 50.86) ->   3.74   0.07
2970:( 42.42, 50.78) ->   8.36   0.20
2975:( 42.51, 49.84) ->   7.33   0.17
2980:( 42.36, 53.14) ->  10.78   0.25
2985:( 51.66, 47.81) ->   3.85   0.07
2990:( 42.30, 48.21) ->   5.91   0.14
2995:( 42.27, 48.57) ->   6.30   0.15
3000:( 42.36, 47.58) ->   5.22   0.12
3005:( 42.33, 48.01) ->   5.68   0.13
3010:( 42.27, 49.15) ->   6.88   0.16
3015:( 42.33, 49.29) ->   6.96   0.16
3020:( 51.81, 48.06) ->   3.75   0.07
3025:( 42.42, 43.23) ->   0.81   0.02
3030:( 42.24, 44.08) ->   1.84   0.04
3035:( 54.00, 46.63) ->   7.37   0.14
3040:( 52.06, 43.61) ->   8.45   0.16
3045:( 52.78, 43.42) ->   9.37   0.18
3050:( 53.73, 47.96) ->   5.77   0.11
3055:( 54.30, 43.90) ->  10.39   0.19
3060:( 52.73, 44.09) ->   8.64   0.16
3065:( 52.46, 43.83) ->   8.63   0.16
3070:( 54.11, 43.09) ->  11.02   0.20
3075:( 52.81, 42.75) ->  10.06   0.19
3080:( 52.38, 43.15) ->   9.23   0.18
3085:( 52.76, 49.51) ->   3.25   0.06
3090:( 52.62, 42.79) ->   9.84   0.19
3095:( 52.78, 44.43) ->   8.36   0.16
3100:( 53.87, 45.81) ->   8.05   0.15
3105:( 53.95, 42.65) ->  11.30   0.21
3110:( 52.76, 41.79) ->  10.97   0.21
3115:( 52.33, 45.41) ->   6.91   0.13
3120:( 53.62, 43.35) ->  10.27   0.19
3125:( 52.24, 42.97) ->   9.27   0.18
3130:( 52.84, 42.93) ->   9.90   0.19
3135:( 52.78, 43.05) ->   9.74   0.18
3140:( 52.24, 42.29) ->   9.96   0.19
3145:( 52.41, 41.86) ->  10.55   0.20
3150:( 52.46, 46.02) ->   6.44   0.12
3155:( 52.33, 43.02) ->   9.31   0.18
3160:( 52.73, 41.97) ->  10.76   0.20
3165:( 53.24, 44.20) ->   9.05   0.17
3170:( 54.08, 41.42) ->  12.66   0.23
3175:( 52.73, 42.62) ->  10.11   0.19
3180:( 52.62, 43.03) ->   9.59   0.18
3185:( 53.95, 40.94) ->  13.01   0.24
3190:( 52.43, 49.86) ->   2.58   0.05
3195:( 52.81, 41.61) ->  11.21   0.21
3200:( 52.95, 41.94) ->  11.00   0.21
3205:( 52.68, 40.85) ->  11.82   0.22
3210:( 52.46, 40.62) ->  11.84   0.23
3215:( 52.14, 40.93) ->  11.21   0.22
3220:( 52.62, 41.58) ->  11.04   0.21
3225:( 52.60, 42.79) ->   9.80   0.19
3230:( 52.27, 42.48) ->   9.79   0.19
3235:( 42.33, 41.54) ->   0.79   0.02
3240:( 52.57, 42.87) ->   9.70   0.18
3245:( 52.41, 41.81) ->  10.60   0.20
3250:( 42.33, 41.20) ->   1.13   0.03
3255:( 51.30, 43.74) ->   7.56   0.15
3260:( 52.78, 42.29) ->  10.50   0.20
3265:( 42.63, 42.55) ->   0.08   0.00
3270:( 42.12, 44.35) ->   2.23   0.05
3275:( 58.32, 45.49) ->  12.83   0.22
3280:( 41.91, 42.99) ->   1.08   0.03
3285:( 42.24, 43.20) ->   0.96   0.02
3290:( 52.24, 43.10) ->   9.15   0.18
3295:( 42.33, 43.78) ->   1.45   0.03
3300:( 42.18, 42.05) ->   0.13   0.00
3305:( 52.24, 42.25) ->   9.99   0.19
3310:( 52.38, 44.33) ->   8.05   0.15
3315:( 42.42, 43.64) ->   1.22   0.03
3320:( 60.93, 44.59) ->  16.34   0.27
3325:( 52.46, 43.98) ->   8.48   0.16
3330:( 42.24, 44.38) ->   2.14   0.05
3335:( 43.29, 44.72) ->   1.43   0.03
3340:( 52.24, 44.34) ->   7.90   0.15
3345:( 42.27, 44.53) ->   2.26   0.05
3350:( 42.33, 44.71) ->   2.38   0.06
3355:( 52.68, 43.84) ->   8.84   0.17
3360:( 42.33, 41.71) ->   0.62   0.01
3365:( 42.27, 41.71) ->   0.56   0.01
3370:( 52.24, 42.18) ->  10.07   0.19
3375:( 52.68, 42.00) ->  10.68   0.20
3380:( 42.09, 42.75) ->   0.66   0.02
3385:( 52.52, 42.32) ->  10.20   0.19
3390:( 52.30, 41.97) ->  10.33   0.20
3395:( 42.33, 42.19) ->   0.14   0.00
3400:( 50.46, 42.60) ->   7.86   0.16
3405:( 52.70, 41.44) ->  11.27   0.21
3410:( 42.27, 41.67) ->   0.60   0.01
3415:( 42.24, 42.11) ->   0.13   0.00
3420:( 52.70, 42.45) ->  10.26   0.19
3425:( 42.27, 41.84) ->   0.43   0.01
3430:( 42.30, 43.13) ->   0.83   0.02
3435:( 52.81, 42.04) ->  10.77   0.20
3440:( 43.50, 42.03) ->   1.47   0.03
3445:( 42.39, 43.02) ->   0.63   0.01
3450:( 42.27, 44.30) ->   2.03   0.05
3455:( 42.18, 42.37) ->   0.19   0.00
3460:( 42.18, 42.31) ->   0.13   0.00
3465:( 42.33, 43.10) ->   0.77   0.02
3470:( 42.21, 43.50) ->   1.29   0.03
3475:( 42.24, 42.74) ->   0.50   0.01
3480:( 42.36, 43.54) ->   1.18   0.03
3485:( 42.33, 42.05) ->   0.28   0.01
3490:( 42.30, 39.78) ->   2.52   0.06
3495:( 42.12, 42.86) ->   0.74   0.02
3500:( 42.03, 41.33) ->   0.70   0.02
3505:( 42.27, 39.95) ->   2.32   0.05
3510:( 42.21, 40.17) ->   2.04   0.05
3515:( 42.30, 41.59) ->   0.71   0.02
3520:( 42.21, 40.40) ->   1.81   0.04
3525:( 42.39, 39.65) ->   2.74   0.06
3530:( 42.21, 41.53) ->   0.68   0.02
3535:( 42.24, 40.81) ->   1.43   0.03
3540:( 42.27, 40.74) ->   1.53   0.04

