time,cpu,HT0,HT1,HT2,C1C2miss
5,0,2334581,0,30336349,700489
15,0,598776,0,4516978,125309
20,0,2420120,0,32508803,868078
30,0,1170007,0,11272206,327991
40,0,835479,0,5074680,74901
55,0,1419643,0,11942515,285937
75,0,628617,0,4671515,67647
85,0,1529595,0,20274848,568361
95,0,1965297,0,26808262,784545
105,0,2205603,0,32423440,800753
110,0,389923,0,5342921,81741
115,0,1354946,0,17161772,486203
130,0,1523545,0,19134338,511905
145,0,1518510,0,21819557,579474
155,0,1605626,0,20548850,538466
180,0,1514252,0,19250367,488287
190,0,1509852,0,20421579,456403
195,0,1515018,0,18800101,523847
205,0,1553611,0,21473251,515399
220,0,1517576,0,19056640,514496
265,0,1496234,0,22385884,477333
270,0,1521692,0,17390155,467381
295,0,1532740,0,19823521,468933
315,0,2047116,0,18917556,500250
325,0,1542840,0,18247328,545767
335,0,1635225,0,20463656,502660
355,0,1520072,0,19506042,531700
370,0,1517527,0,19511895,490236
380,0,1526825,0,20172393,591245
385,0,1497410,0,21904737,420737
400,0,1502691,0,21013217,373088
440,0,1528826,0,18586102,567023
450,0,1527955,0,18309334,470251
465,0,1500305,0,19777956,517075
470,0,1508628,0,20367770,524926
475,0,1524530,0,18807020,472225
480,0,1502329,0,20610916,472130
485,0,1630094,0,20121275,546357
515,0,1649617,0,19416723,557628
550,0,1527356,0,20049130,523414
580,0,1532169,0,20319438,475744
585,0,1531156,0,19063887,371041
605,0,1639041,0,21578619,393618
620,0,1528153,0,19344391,497211
630,0,1507626,0,19261006,543468
635,0,1639556,0,21082222,542318
645,0,1513146,0,19405199,521882
675,0,1519021,0,20107786,434589
685,0,1522738,0,19268011,526622
695,0,1645148,0,21621992,423748
705,0,1516092,0,19701556,484624
715,0,1510770,0,19009042,503232
730,0,1535676,0,19219029,496908
740,0,1550197,0,19911054,552428
750,0,1505278,0,19860662,579489
760,0,1524210,0,19309929,517390
765,0,1520017,0,20024782,534138
780,0,1492093,0,20480388,429730
785,0,1658112,0,20864942,516945
805,0,1504600,0,20482468,470737
815,0,1818750,0,21006295,555182
825,0,1498859,0,21057693,401563
855,0,1515742,0,19964620,461383
865,0,1475331,0,13054067,343590
870,0,1554035,0,27598493,614404
875,0,1134068,0,12920036,330549
880,0,2057885,0,27004428,696024
895,0,1505512,0,19530553,628695
900,0,1228660,0,11887363,334962
905,0,1938754,0,27734378,732584
920,0,450787,0,5097157,88721
935,0,1066548,0,13987859,329273
940,0,2073420,0,27537687,646605
945,0,659489,0,4847427,73878
975,0,2168621,0,32652983,822873
980,0,415698,0,5333971,61477
985,0,1332966,0,18235943,493102
990,0,1512282,0,20388766,465539
995,0,1666817,0,20833603,484910
1015,0,1510318,0,19309811,470114
1020,0,1505295,0,20630918,375566
1045,0,1510890,0,19354689,526994
1050,0,1512556,0,19911475,498906
1060,0,1512939,0,20147958,505260
1070,0,1516693,0,19517041,490034
1075,0,1558809,0,20920246,547330
1085,0,1642916,0,21767267,440226
1105,0,1496636,0,22080693,416357
1110,0,1537190,0,19524600,531443
1120,0,1500965,0,20939429,459443
1155,0,1516898,0,20035692,487277
1175,0,1830250,0,21058516,570950
1195,0,1496228,0,20683183,457739
1200,0,1513373,0,19132351,529518
1205,0,1674729,0,21815360,452683
1210,0,1513036,0,20382647,403181
1215,0,1525041,0,19968936,462617
1225,0,1513015,0,21125441,416260
1230,0,1524129,0,19390228,551677
1240,0,1531228,0,20217048,419499
1245,0,1542811,0,19113833,516803
1255,0,1512415,0,19204986,493872
1260,0,1541263,0,19029462,527315
1275,0,1518127,0,20961903,470659
1285,0,1519869,0,19460534,485282
1290,0,1514007,0,19883481,396186
1300,0,1497055,0,21044255,455289
1310,0,1511887,0,20318167,399854
1315,0,1518464,0,18696060,496775
1320,0,1512699,0,20029326,478028
1325,0,1654025,0,21165921,476556
1330,0,1543766,0,19099424,481732
1335,0,1527393,0,20737100,467752
1340,0,1493743,0,20418198,483893
1345,0,1507346,0,21222621,571515
1365,0,1506975,0,20380697,459549
1375,0,1525446,0,18447696,525741
1395,0,1499585,0,20611770,525721
1425,0,1521496,0,20338060,543625
1445,0,1643488,0,20858098,493243
1450,0,1518285,0,18455607,484081
1455,0,1496217,0,20783275,496036
1485,0,1534788,0,18940354,532333
1525,0,1525910,0,19683250,521786
1540,0,1534025,0,18717404,474791
1545,0,1507097,0,19645110,530827
1575,0,1512753,0,19824117,525665
1585,0,1506693,0,19819081,577181
1590,0,1506816,0,19671207,522070
1600,0,1522831,0,18844283,613960
1605,0,1515038,0,20801682,482449
1620,0,1517824,0,20550925,419819
1630,0,1512835,0,20757157,455859
1670,0,1537262,0,18938999,547648
1685,0,1665631,0,21942071,388331
1690,0,1512132,0,19666883,518354
1705,0,1517668,0,21357507,436975
1720,0,1497612,0,20940223,402512
1730,0,1512654,0,19829066,455704
1735,0,1509462,0,19825652,489937
1745,0,1677572,0,20305145,506568
1750,0,1502091,0,20242766,383202
1760,0,1510914,0,18891072,473766
1790,0,1519405,0,19250401,525298
1800,0,1525450,0,19271073,487884
1805,0,1651099,0,21351666,422733
1845,0,1525715,0,20233101,547647
1850,0,1499348,0,18732317,456465
1855,0,1512347,0,19267548,518076
1860,0,1508481,0,20229729,500880
1875,0,1505765,0,20238800,493492
1880,0,1515065,0,19666262,466018
1900,0,1494951,0,20800021,512222
1915,0,1499372,0,21949636,420071
1955,0,1682087,0,20828306,465323
1960,0,1466665,0,12821589,281598
1965,0,1579854,0,27059872,686837
1970,0,984156,0,11839246,278882
1980,0,658977,0,5237693,82084
1985,0,2540331,0,34499073,934560
1990,0,1506800,0,21570719,532509
2005,0,789140,0,5070028,106501
2010,0,2204166,0,36578413,909688
2020,0,1379811,0,11946231,335203
2030,0,854658,0,12124551,313184
2040,0,569685,0,5187240,131093
2045,0,2641177,0,32363227,809545
2055,0,1127287,0,12498541,278959
2060,0,1896325,0,26865274,668593
2065,0,817439,0,5787313,44288
2075,0,1706139,0,21043030,421507
2090,0,898155,0,11346453,280688
2100,0,567967,0,5160931,87231
2125,0,829894,0,4663260,118147
2135,0,1680528,0,21162479,385418
2150,0,869938,0,11712444,299261
2170,0,1494802,0,23910067,513905
2175,0,1131651,0,11939167,322912
2185,0,830852,0,5019617,112608
2195,0,1722497,0,21895813,379783
2200,0,1363612,0,12845906,259163
2210,0,845218,0,11031285,271954
2225,0,2669249,0,30860404,786111
2230,0,1534639,0,23803395,701384
2240,0,1965664,0,26652351,777972
2245,0,752562,0,5581060,134527
2260,0,1288328,0,11919705,322797
2265,0,1779104,0,27378105,620243
2270,0,844612,0,9725700,225751
2285,0,2720622,0,29448682,667046
2295,0,1035812,0,13284008,272962
2300,0,1998027,0,27283832,514060
2305,0,751932,0,5325220,63125
2315,0,1706121,0,19603216,526234
2325,0,1734782,0,26028891,736540
2340,0,450505,0,5097392,109666
2345,0,2735851,0,27974472,707112
2355,0,969024,0,13090150,260396
2360,0,2071779,0,25689008,646283
2365,0,674423,0,5072369,58569
2370,0,2360662,0,35370170,861135
2400,0,392178,0,4532849,115141
2410,0,1533557,0,19229322,511646
2420,0,1512143,0,20053773,512869
2430,0,1516143,0,20645181,426226
2445,0,1502840,0,19299811,446247
2450,0,1509360,0,19625230,497382
2475,0,1518479,0,18316527,441336
2500,0,1505729,0,19059857,393426
2515,0,1525869,0,18864173,552192
2520,0,1518210,0,19628290,538426
2540,0,1514255,0,19215592,495272
2550,0,1522710,0,18947494,500764
2555,0,1718835,0,20281726,559938
2595,0,1523783,0,20280937,482524
2600,0,1500743,0,20002237,489678
2605,0,1494569,0,20651384,461929
2665,0,1528064,0,27879704,609638
2675,0,1761062,0,23531752,547212
2680,0,1513561,0,21080232,529958
2695,0,1540448,0,24998707,488487
2710,0,1516574,0,20547118,569937
2730,0,1531869,0,19230058,524068
2740,0,1492724,0,21958242,373407
2760,0,1525549,0,18931983,538338
2775,0,1525360,0,18634436,556395
2780,0,1517585,0,20035441,420912
2785,0,1491910,0,21716838,550079
2790,0,1501771,0,19672857,498021
2795,0,1680570,0,21028037,566460
2810,0,1521965,0,19569042,549246
2845,0,1512025,0,19819808,537755
2850,0,1509196,0,19449953,530509
2860,0,1512296,0,19618492,547318
2865,0,1517008,0,20984907,463185
2880,0,1529485,0,19543472,567189
2885,0,1710994,0,19758015,563293
2890,0,1527574,0,20232412,525527
2900,0,1510094,0,20936553,452258
2905,0,1524093,0,20824486,559391
2910,0,1510480,0,19924777,439024
2915,0,1723700,0,20493883,549804
2920,0,1528221,0,19580716,543930
2925,0,1513773,0,20203508,524639
2935,0,1529596,0,19433010,560621
2950,0,1507672,0,21071699,481720
2970,0,1532770,0,19257531,550475
2975,0,1717210,0,20000002,556299
2985,0,1509129,0,20616389,456799
2995,0,1508188,0,20339071,525547
3000,0,1533585,0,19571918,436786
3010,0,1518782,0,20394474,540243
3015,0,1510683,0,18899496,475390
3020,0,1507155,0,19582662,543944
3050,0,1495854,0,20617871,480196
3055,0,1508124,0,20450744,520382
3060,0,1537459,0,18511247,543827
3070,0,1512256,0,20528282,475276
3080,0,1510358,0,20781956,454837
3090,0,1508795,0,20343972,490763
3115,0,1526145,0,19573559,585031
3135,0,1535666,0,18565710,557414
3150,0,1516902,0,20194960,524051
3155,0,1722863,0,21735747,470458
3160,0,1512416,0,20146944,556026
3175,0,1019935,0,12363200,305214
3190,0,2390883,0,36067748,872074
3225,0,2545368,0,27975470,751255
3230,0,1582937,0,26513789,725176
3235,0,950023,0,13596249,233968
3245,0,857075,0,5841502,92884
3250,0,2386292,0,34894766,929131
3255,0,1532469,0,19091267,517061
3260,0,1238647,0,12700248,337732
3270,0,828654,0,9701177,200128
3280,0,451618,0,5149995,119718
3285,0,2576448,0,27601578,703853
3295,0,973797,0,13491489,260328
3305,0,887734,0,5615102,90666
3325,0,1746886,0,28056247,745574
3330,0,845191,0,9904535,270638
3340,0,454026,0,5410361,119159
3355,0,1027754,0,13337781,316533
3370,0,2293644,0,37416610,727166
3385,0,1726887,0,28445323,731719
3395,0,2364989,0,31321484,856636
3400,0,480806,0,5458904,117130
3405,0,2565514,0,26628075,759541
3415,0,1021781,0,12616000,339768
3450,0,749388,0,4438225,117949
3460,0,1495282,0,21038485,469836
3465,0,1331276,0,12187215,273836
3475,0,859657,0,13729203,228520
3490,0,2476984,0,32496379,748548
3500,0,1105984,0,12003913,289158
3510,0,830190,0,4494787,147837
3525,0,1360164,0,12364644,270392
3530,0,1670255,0,26585244,669425
3540,0,2152672,0,26739272,736351
3545,0,771226,0,5811471,133827
3555,0,1525705,0,23469964,553887
3570,0,833596,0,4805926,117683
3595,0,857377,0,13387468,244759
3600,0,2221237,0,26305826,750008
3610,0,2493803,0,32238364,708500
3620,0,1113605,0,11772403,291025
3625,0,1921037,0,28620405,712487
3645,0,1371752,0,12620866,320579
3655,0,845944,0,12262828,319462
3665,0,745739,0,6154604,150583
3670,0,2525293,0,29528674,883508
3680,0,749488,0,4760151,73784
3685,0,2262336,0,35152896,939216
3690,0,1517737,0,20189830,525031
3705,0,847115,0,11513321,298576
3715,0,500858,0,5473181,103704
3730,0,1095722,0,13591116,281315
3740,0,830152,0,4823590,73404
3765,0,899659,0,11264710,389163
3790,0,1144550,0,13284136,270879
3810,0,1509842,0,18851738,639544
3835,0,598028,0,5299119,126764
3840,0,2447422,0,31827734,820958
3850,0,1121343,0,13010852,278952
3865,0,2248229,0,35253176,1014415
3870,0,1513441,0,19749027,537342
3895,0,567886,0,5205832,130141
3900,0,2450009,0,32664515,819029
3910,0,1130373,0,12424481,298147
3920,0,1532118,0,20089250,470805
3925,0,1299992,0,12794155,320652
3935,0,1073022,0,11517074,251956
3950,0,2536597,0,29239660,734907
3970,0,790041,0,4941329,116934
3985,0,1330511,0,13684325,286499
3995,0,1079374,0,13409783,359278
4000,0,2157350,0,28065416,730884
4010,0,2500840,0,30519636,868951
4020,0,1095348,0,12853886,270827
4030,0,794237,0,4876170,74413
4045,0,1359363,0,13207061,322476
4050,0,1644480,0,29329424,662182
4055,0,1062549,0,14638567,276460
4070,0,2493085,0,31520746,728191
4080,0,1093159,0,12703808,243348
4090,0,789274,0,5040261,76168
4105,0,1380577,0,13090591,336560
4120,0,2141774,0,27747816,835020
4125,0,559745,0,5151860,101760
4145,0,2123432,0,30736405,710280
4150,0,835021,0,4730153,120701
4165,0,1020778,0,12462585,319632
4170,0,2023822,0,27664656,671632
4190,0,1213084,0,13059297,250959
4210,0,452454,0,4768895,115830
4215,0,2569967,0,27434430,723049
4225,0,1025664,0,13456281,258399
4230,0,1985446,0,29021428,651954
4235,0,969716,0,6242361,118211
4245,0,1520815,0,19980711,533891
4250,0,1255584,0,12226176,327868
4260,0,847942,0,7929537,216632
4270,0,423210,0,4599062,122860
4275,0,1308384,0,18096785,507389
4280,0,1520532,0,21372913,460269
4285,0,1502528,0,20384934,524446
4290,0,1513799,0,20501598,525641
4300,0,1514852,0,20111780,512393
4370,0,1470601,0,18875388,511596
4380,0,1503173,0,21456629,375913
4385,0,1730884,0,21845210,540479
4410,0,1506835,0,19758248,502945
4415,0,1753132,0,20951582,539370
4420,0,1534473,0,20215450,503026
4430,0,1515412,0,19289023,513636
4435,0,1527917,0,18977549,543974
4450,0,1520828,0,18549857,549564
4485,0,1508091,0,21434716,559554
4500,0,1510984,0,20546357,424449
5,1,2331511,0,30291177,658250
35,1,1959024,0,27369284,800003
40,1,834084,0,5048030,50522
65,1,1173039,0,13565256,230746
70,1,2073787,0,27906534,576333
90,1,1150403,0,12908126,117470
155,1,1605580,0,20536006,499165
165,1,1509035,0,19378909,499721
170,1,1503687,0,21121970,346426
175,1,1513623,0,19467004,511004
180,1,1514248,0,19234744,490516
185,1,1789380,0,20240688,527558
200,1,1518742,0,20499212,437319
215,1,1596115,0,20710115,464275
225,1,1493100,0,20633034,344234
230,1,1523200,0,19593114,345129
235,1,1525779,0,19900339,451887
240,1,1533501,0,18295606,536045
250,1,1528276,0,19540679,336682
260,1,1539638,0,19756685,416580
275,1,1613339,0,20657128,525023
280,1,1532680,0,18360506,536895
285,1,1552875,0,18538715,469352
300,1,1516850,0,19127955,513419
305,1,1638238,0,23825689,283142
310,1,1514670,0,20119084,296937
330,1,1510683,0,19153621,500862
340,1,1498099,0,21058624,279527
345,1,1544076,0,18722933,531637
360,1,1514530,0,19594685,487068
365,1,1618979,0,20949292,485017
375,1,1525899,0,19325451,339000
380,1,1526825,0,20167030,438907
390,1,1511919,0,20628651,387025
395,1,1624001,0,21340898,479077
410,1,1533658,0,19685592,461530
415,1,1513191,0,20128419,275630
435,1,1512839,0,18777306,539583
445,1,1509235,0,20587144,452564
455,1,1616862,0,20822271,485306
460,1,1499398,0,20691000,280928
485,1,1630084,0,20111306,398933
510,1,1510621,0,20288413,299255
535,1,1513062,0,20114447,347237
590,1,1524271,0,19964895,489583
620,1,1528153,0,19339709,493729
640,1,1521421,0,19836085,321473
655,1,1494203,0,19812240,486266
660,1,1517277,0,20101609,387003
670,1,1516709,0,20184822,208175
680,1,1534335,0,19058926,514120
690,1,1513338,0,19455272,499824
725,1,1635969,0,20448239,466512
735,1,1516995,0,20022459,328296
775,1,1518113,0,19485848,260759
790,1,1498309,0,20698366,457529
810,1,1551710,0,19194370,326789
815,1,1818772,0,20999923,528394
840,1,1510819,0,19481515,451632
860,1,1512392,0,19663089,504144
885,1,646001,0,5666790,47509
910,1,831077,0,8599476,82096
925,1,2569708,0,26285196,724379
945,1,656909,0,4807056,65285
950,1,2392292,0,34059710,727521
955,1,1527758,0,19353088,409957
970,1,867764,0,6749249,174374
1025,1,1635087,0,22414477,315373
1065,1,1526496,0,20301315,316152
1080,1,1466952,0,17719990,423605
1095,1,1508362,0,19780153,462378
1100,1,1512970,0,19312182,514435
1160,1,1487130,0,20578339,334470
1170,1,1509221,0,21181237,246116
1185,1,1507576,0,19976094,384266
1220,1,1523050,0,19198322,343818
1235,1,1643027,0,21630536,236479
1250,1,1517207,0,19264545,443805
1265,1,1661999,0,20648044,535598
1270,1,1516767,0,18523274,469516
1280,1,1518463,0,18820509,515383
1305,1,1529674,0,19150006,533057
1310,1,1511885,0,20312086,293246
1350,1,1510362,0,20161103,409659
1355,1,1665050,0,21775997,218542
1360,1,1525686,0,19847790,465415
1370,1,1500161,0,20129684,479552
1380,1,1510641,0,19638512,474611
1385,1,1663861,0,21708038,411094
1405,1,1513147,0,19743022,454165
1410,1,1512243,0,19144888,487215
1415,1,1664263,0,19640024,517998
1420,1,1541852,0,18993799,431125
1440,1,1523273,0,19245653,529163
1460,1,1504654,0,20460816,306784
1475,1,1682885,0,20642332,450270
1480,1,1525487,0,20162788,442410
1485,1,1534774,0,18939464,488833
1500,1,1515348,0,19778795,522811
1505,1,1686564,0,20284061,349194
1520,1,1534610,0,19478122,454740
1550,1,1520368,0,19694150,361813
1565,1,1653330,0,21866505,327515
1620,1,1517792,0,20537301,311591
1660,1,1496772,0,20416193,461644
1685,1,1665621,0,21932379,345569
1810,1,1518326,0,19578452,527201
1840,1,1495020,0,20100895,381870
1955,1,1682083,0,20819450,308774
1980,1,656742,0,5193573,63766
2025,1,1677826,0,27336250,678551
2030,1,854154,0,12077786,210944
2075,1,1706100,0,21018475,372871
2080,1,1390818,0,12268847,305992
2140,1,1353605,0,13287439,146087
2185,1,803627,0,4993952,69411
2195,1,1722497,0,21899995,352687
2245,1,715365,0,5517750,43795
2250,1,2317048,0,34842908,908562
2260,1,1285654,0,11891068,269372
2275,1,2185898,0,28230449,757656
2290,1,1526802,0,26084327,593779
2300,1,1998760,0,27335212,420708
2305,1,744990,0,5264507,76094
2320,1,1304459,0,12613004,297130
2325,1,1734802,0,26023468,756558
2330,1,845763,0,9524828,236752
2345,1,2732416,0,27974796,636870
2360,1,2072403,0,25731871,656181
2425,1,1533016,0,19210033,485222
2450,1,1509334,0,19617479,429443
2455,1,1509336,0,20373534,248423
2465,1,1719413,0,19493781,553915
2475,1,1518683,0,20138402,307681
2485,1,1528138,0,19428441,357923
2495,1,1721066,0,22008122,558691
2545,1,1522797,0,19626696,495826
2630,1,1522099,0,19545757,292592
2635,1,1523689,0,19138946,518500
2640,1,1511131,0,20503845,340011
2645,1,1700060,0,21005570,411788
2655,1,2192431,0,50036643,963158
2660,1,1498144,0,21003646,269911
2690,1,1511659,0,21103430,321794
2700,1,1511965,0,20050577,425373
2780,1,1517585,0,20033019,376309
2800,1,1552682,0,19262072,435858
2875,1,1522986,0,19378694,457352
2890,1,1527618,0,20244883,483657
2930,1,1525619,0,19641008,340464
2965,1,1493839,0,21531030,381399
3030,1,1509004,0,19544925,495949
3110,1,1519005,0,20622749,352915
3115,1,1526143,0,19549267,449914
3200,1,1229752,0,12472911,264266
3210,1,846679,0,7619935,121517
3215,1,2403808,0,32682820,840485
3265,1,1797531,0,30379366,331534
3280,1,450570,0,5117682,82043
3300,1,2054970,0,28394684,404902
3345,1,2560955,0,27657800,737908
3350,1,1507404,0,27473067,652222
3365,1,925490,0,6648846,43245
3375,1,1513570,0,19720388,503997
3390,1,851831,0,9755641,215545
3420,1,2023225,0,28010598,586544
3425,1,871735,0,6216986,116980
3450,1,745226,0,4411968,71352
3460,1,1495268,0,21029313,469565
3535,1,883596,0,13026889,288605
