Proc 	 n 	bm 	  %error  	  rmse
AMD 	100	astar 	0.6606	0.7241
AMD 	100	gamess 	0.9939	1.0269
AMD 	100	gobmk 	0.6514	0.7555
AMD 	100	zeusmp 	0.8223	0.8472
AMD 	50	astar 	0.4724	0.514
AMD 	50	gamess 	0.9361	1.0216
AMD 	50	gobmk 	0.6374	0.7211
AMD 	50	zeusmp 	0.8248	0.8266
AMD 	25	astar 	0.1816	0.1823
AMD 	25	gamess 	0.2063	0.242
AMD 	25	gobmk 	0.2762	0.3376
AMD 	25	zeusmp 	0.2221	0.2337
AMD 	10	astar 	0.20884	0.209645
AMD 	10	gamess 	0.237245	0.2783
AMD 	10	gobmk 	0.31763	0.38824
AMD 	10	zeusmp 	0.255415	0.268755
AMD 	5	astar 	0.240166	0.24109175
AMD 	5	gamess 	0.27283175	0.320045
AMD 	5	gobmk 	0.3652745	0.446476
AMD 	5	zeusmp 	0.29372725	0.30906825
Intel 	100	astar 	1.9244	1.8386
Intel 	100	gamess 	1.4203	1.5481
Intel 	100	gobmk 	2.3632	2.1314
Intel 	100	zeusmp 	4.2029	3.3069
Intel 	50	astar 	1.3704	1.3396
Intel 	50	gamess 	1.554	1.6084
Intel 	50	gobmk 	1.6657	1.6767
Intel 	50	zeusmp 	4.6398	3.5883
Intel 	25	astar 	1.2587	1.2944
Intel 	25	gamess 	2.8759	2.4411
Intel 	25	gobmk 	1.7991	1.8587
Intel 	25	zeusmp 	4.0871	3.1972
Intel 	10	astar 	1.51044	1.55328
Intel 	10	gamess 	3.45108	2.92932
Intel 	10	gobmk 	2.15892	2.23044
Intel 	10	zeusmp 	4.90452	3.83664
Intel 	5	astar 	1.812528	1.863936
Intel 	5	gamess 	4.141296	3.515184
Intel 	5	gobmk 	2.590704	2.676528
Intel 	5	zeusmp 	5.885424	4.603968
